Customer_ID,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn,Data_Quality_Flag
CUST-7000,Female,Yes,No,No,30,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Credit card",28.03,832.71,No,Clean
CUST-7001,Female,No,Yes,Yes,58,Yes,Yes,DSL,Yes,"No internet service",Yes,No,No,No,"One year",Yes,"Bank transfer",63.80,3710.35,No,Clean
CUST-7002,Female,No,No,Yes,2,Yes,No,DSL,No,No,Yes,Yes,"No internet service",Yes,Month-to-month,No,"Credit card",75.08,145.56,Yes,Clean
CUST-7003,Male,No,Yes,Yes,10,Yes,Yes,"Fiber optic",No,Yes,"No internet service","No internet service",Yes,No,Month-to-month,No,"Credit card",74.95,758.92,No,Clean
CUST-7004,Male,No,Yes,Yes,72,Yes,No,DSL,"No internet service",No,No,No,Yes,Yes,Month-to-month,Yes,"Bank transfer",63.32,4560.53,No,Clean
CUST-7005,Male,Yes,Yes,Yes,5,Yes,"No phone service",DSL,No,No,"No internet service",Yes,No,Yes,Month-to-month,No,"Mailed check",67.64,338.02,Yes,Clean
CUST-7006,Male,No,Yes,No,8,No,"No phone service","Fiber optic",Yes,No,No,No,Yes,Yes,Month-to-month,No,Unknown,70.44,568.18,Yes,Clean
CUST-7007,Unknown,No,No,No,69,Yes,"No phone service",DSL,Yes,"No internet service",No,No,Yes,Yes,Month-to-month,Yes,"Mailed check",79.74,5509.48,No,Clean
CUST-7008,Female,No,No,No,37,Yes,Yes,DSL,Yes,No,No,"No internet service",No,No,"Two year",No,"Credit card",60.16,2216.52,No,Clean
CUST-7009,Male,Yes,Yes,No,54,Yes,No,DSL,Yes,No,No,Yes,"No internet service","No internet service",Month-to-month,No,"Credit card",59.17,3197.86,No,Clean
CUST-7010,Male,No,No,Yes,3,Yes,Yes,"Fiber optic",No,Yes,Yes,No,No,No,"Two year",No,"Credit card",93.94,278.23,No,Clean
CUST-7011,Male,No,No,Yes,42,Yes,Yes,DSL,No,Yes,Yes,Yes,"No internet service",Yes,Month-to-month,Yes,"Mailed check",66.62,2791.62,Yes,Clean
CUST-7012,Male,Yes,Yes,Yes,22,Yes,No,DSL,No,Yes,"No internet service",Yes,No,"No internet service","One year",No,"Credit card",65.55,1448.07,No,Clean
CUST-7013,Male,Yes,Yes,No,33,Yes,No,DSL,"No internet service",Yes,No,"No internet service",Yes,Yes,Month-to-month,No,"Credit card",71.64,2364.78,No,Clean
CUST-7014,Female,Yes,No,No,37,Yes,Yes,"Fiber optic","No internet service",No,"No internet service","No internet service","No internet service",Yes,Month-to-month,No,"Credit card",93.84,3468.17,Yes,Clean
CUST-7015,Female,No,Yes,Yes,39,Yes,Yes,"Fiber optic",No,"No internet service","No internet service",Yes,No,Yes,"One year",No,"Credit card",95.67,3730.99,No,Clean
CUST-7016,Female,No,Yes,No,3,Yes,Yes,DSL,Yes,Yes,Yes,"No internet service",No,No,"One year",No,"Electronic check",73.28,223.87,No,Clean
CUST-7017,Female,No,Yes,Yes,61,Yes,Yes,"Fiber optic","No internet service","No internet service","No internet service",Yes,Yes,"No internet service","One year",Yes,"Bank transfer",91.83,5595.52,Yes,Clean
CUST-7018,Male,No,Yes,No,58,Yes,"No phone service",DSL,No,"No internet service","No internet service",Yes,Yes,Yes,"One year",No,"Electronic check",76.79,4459.88,No,Clean
CUST-7019,Male,No,Yes,Yes,7,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Credit card",25.78,172.39,Yes,Clean
CUST-7020,Female,No,No,Yes,41,Yes,Yes,DSL,No,No,"No internet service",No,No,Yes,"One year",Yes,"Bank transfer",67.94,2792.75,No,Clean
CUST-7021,Male,No,No,No,65,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Credit card",32.65,2120.36,No,Clean
CUST-7022,Female,No,Yes,No,72,No,"No phone service",DSL,No,"No internet service",No,No,Yes,"No internet service",Month-to-month,Yes,"Credit card",48.21,3465.38,Yes,Clean
CUST-7023,Male,No,Yes,No,25,Yes,Yes,"Fiber optic",Yes,Yes,No,No,No,No,"One year",No,"Electronic check",90.22,2260.68,Yes,Clean
CUST-7024,Female,Yes,No,Yes,24,Yes,No,"Fiber optic","No internet service",No,No,"No internet service",No,No,"One year",No,Unknown,68.26,1639.96,No,Clean
CUST-7025,Female,Yes,No,Yes,37,Yes,No,DSL,Yes,No,"No internet service",No,No,Yes,Month-to-month,No,"Mailed check",72.44,2682.76,No,Clean
CUST-7026,Male,No,Yes,No,25,Yes,No,"Fiber optic","No internet service","No internet service","No internet service",No,No,"No internet service",Month-to-month,No,"Mailed check",65.91,1655.60,No,Clean
CUST-7027,Female,No,Yes,No,51,Yes,Yes,"Fiber optic","No internet service",Yes,"No internet service",Yes,"No internet service",Yes,Month-to-month,No,"Electronic check",85.99,4389.02,Yes,Clean
CUST-7028,Female,No,No,No,29,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Credit card",32.47,939.43,Yes,Clean
CUST-7029,Female,No,Yes,No,43,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Credit card",33.15,1424.72,No,Clean
CUST-7030,Male,No,Yes,No,29,Yes,No,DSL,Yes,Yes,No,"No internet service","No internet service",No,Month-to-month,No,"Credit card",72.99,2115.47,No,Clean
CUST-7032,Male,Yes,No,Yes,37,Yes,"No phone service",DSL,Yes,No,"No internet service",Yes,No,Yes,Month-to-month,Yes,"Credit card",65.14,2408.07,Yes,Clean
CUST-7033,Male,No,Yes,Yes,22,Yes,"No phone service",DSL,Yes,No,Yes,No,"No internet service","No internet service",Month-to-month,Yes,"Electronic check",60.97,1351.16,Yes,Clean
CUST-7034,Female,No,No,No,70,Yes,No,"Fiber optic",No,"No internet service",Yes,Yes,Yes,No,Month-to-month,Yes,"Bank transfer",78.87,5522.80,Yes,Clean
CUST-7035,Female,No,No,No,60,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",28.99,1733.75,Yes,Clean
CUST-7036,Female,No,Yes,Yes,62,No,"No phone service","Fiber optic",Yes,"No internet service",No,"No internet service",Yes,No,Month-to-month,Yes,"Bank transfer",83.87,5204.77,No,Clean
CUST-7037,Male,No,Yes,Yes,2,Yes,"No phone service","Fiber optic",No,"No internet service",No,Yes,"No internet service","No internet service",Month-to-month,Yes,"Mailed check",80.96,168.45,Yes,Clean
CUST-7038,Female,Yes,No,No,14,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Electronic check",31.87,438.30,No,Clean
CUST-7039,Male,No,No,No,9,Yes,No,"Fiber optic","No internet service",Yes,"No internet service",Yes,No,"No internet service",Month-to-month,No,"Credit card",80.81,719.48,Yes,Clean
CUST-7040,Female,No,No,Yes,2,Yes,Yes,"Fiber optic","No internet service",Yes,Yes,Yes,No,Yes,"Two year",Yes,"Mailed check",94.37,197.28,Yes,Clean
CUST-7041,Male,No,No,Yes,49,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Bank transfer",28.31,1384.03,No,Clean
CUST-7042,Female,No,No,Yes,39,Yes,"No phone service",No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Mailed check",34.87,1360.25,No,Clean
CUST-7043,Male,No,Yes,Yes,28,Yes,No,DSL,No,No,No,Yes,No,"No internet service",Month-to-month,No,"Mailed check",70.65,1980.23,Yes,Clean
CUST-7044,Female,No,No,Yes,6,Yes,Yes,"Fiber optic",No,Yes,"No internet service",Yes,No,"No internet service","Two year",Yes,"Mailed check",77.32,465.31,Yes,Clean
CUST-7045,Female,No,No,Yes,42,Yes,"No phone service","Fiber optic",No,No,"No internet service",Yes,No,No,Month-to-month,No,"Credit card",89.95,3781.71,No,Clean
CUST-7046,Male,No,No,No,64,Yes,Yes,DSL,"No internet service",No,"No internet service",No,"No internet service",No,"One year",Yes,"Mailed check",46.34,2965.81,No,Clean
CUST-7047,Female,No,Yes,No,43,No,"No phone service",No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",20.00,854.44,No,Clean
CUST-7048,Male,No,Yes,Yes,62,Yes,No,DSL,Yes,"No internet service",No,Yes,No,Yes,Month-to-month,No,"Mailed check",65.08,4031.12,No,Clean
CUST-7049,Male,No,Yes,Yes,14,Yes,No,DSL,"No internet service","No internet service","No internet service",Yes,"No internet service","No internet service",Month-to-month,Yes,"Bank transfer",61.52,868.67,No,Clean
CUST-7050,Female,No,Yes,Yes,61,Yes,"No phone service",DSL,Yes,"No internet service",Yes,"No internet service","No internet service",No,"Two year",Yes,"Mailed check",71.64,4362.69,No,Clean
CUST-7051,Male,Yes,Yes,Yes,0,Yes,"No phone service",DSL,"No internet service",Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Mailed check",79.78,0.00,Yes,Clean
CUST-7052,Female,No,No,Yes,38,Yes,Yes,"Fiber optic",Yes,"No internet service",No,"No internet service",No,"No internet service","Two year",No,"Credit card",85.43,3241.57,Yes,Clean
CUST-7053,Female,No,Yes,No,56,Yes,"No phone service",DSL,Yes,Yes,Yes,Yes,"No internet service","No internet service",Month-to-month,Yes,"Electronic check",65.72,3682.09,Yes,Clean
CUST-7054,Female,No,No,No,1,Yes,No,"Fiber optic","No internet service",Yes,Yes,No,"No internet service",Yes,Month-to-month,Yes,"Electronic check",86.88,85.37,Yes,Clean
CUST-7055,Male,No,Yes,Unknown,26,No,"No phone service","Fiber optic",No,"No internet service",Yes,Yes,Yes,No,"One year",No,"Mailed check",81.34,2120.47,No,Clean
CUST-7056,Male,No,Yes,No,7,Yes,No,"Fiber optic",No,No,No,"No internet service","No internet service",Yes,"Two year",No,"Credit card",73.18,507.75,Yes,Clean
CUST-7057,Female,No,Yes,No,2,Yes,"No phone service",No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Electronic check",34.98,76.74,Yes,Clean
CUST-7058,Female,No,Yes,No,21,Yes,Yes,DSL,"No internet service","No internet service",Yes,Yes,Yes,No,Month-to-month,Yes,"Bank transfer",68.68,1442.98,No,Clean
CUST-7059,Female,Yes,Yes,Yes,12,Yes,Yes,DSL,Yes,"No internet service","No internet service",No,"No internet service",Yes,"Two year",Yes,"Mailed check",62.39,746.16,No,Clean
CUST-7060,Male,No,No,Yes,29,No,"No phone service",DSL,"No internet service",No,Yes,Yes,No,Yes,Month-to-month,No,"Mailed check",64.08,1857.89,Yes,Clean
CUST-7061,Male,No,Yes,No,11,Yes,"No phone service",DSL,"No internet service",No,No,Yes,Yes,Yes,Month-to-month,No,"Bank transfer",76.94,854.29,Yes,Clean
CUST-7062,Male,No,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Mailed check",31.83,27.29,Yes,Clean
CUST-7063,Male,No,No,Yes,10,Yes,"No phone service",DSL,"No internet service",No,Yes,Yes,"No internet service",No,"Two year",No,"Bank transfer",65.21,656.01,No,Clean
CUST-7064,Male,No,No,No,19,Yes,"No phone service","Fiber optic",No,Yes,"No internet service",Yes,No,No,"One year",Yes,"Electronic check",99.94,1905.84,No,Clean
CUST-7065,Male,No,No,No,1,Yes,"No phone service","Fiber optic","No internet service",No,No,"No internet service","No internet service",No,Month-to-month,Yes,"Bank transfer",79.17,80.44,Yes,Clean
CUST-7066,Male,No,Yes,Yes,19,Yes,Yes,"Fiber optic",Yes,No,"No internet service","No internet service",Yes,No,"One year",No,"Credit card",82.01,1568.14,No,Clean
CUST-7067,Female,No,Yes,No,15,Yes,"No phone service",No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Credit card",33.00,501.77,Yes,Clean
