Customer_ID,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn
CUST-7140,Femal,0,Yes,Yes,65,Yes,No,DSL,No,Yes,No internet service,Yes,No,Yes,two year,No,Electronic check,75.59,4906.15,NO
CUST-7949,Femal,0,No,Yes,51,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ONE YEAR,Yes,Mailed check,32.98,1675.3,NO
CUST-7248,Femal,0,Yes,No,55,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,Month to month,Yes,Mailed check,76.25,4196.7,no
CUST-7737,FEMALE,0,Yes,Yes,40,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,ONE YEAR,Yes,Bank transfer,82.7,3312.99,NO
CUST-7568,male,0,Yes,No,0,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,month-to-month,Yes,Credit card,88.68,3.89,NO
CUST-8323,FEMALE,0,No,Yes,31,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.03,971.4, No 
CUST-8082, Male,1,No,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 year,No,Electronic check,32.71,1021.05, No 
CUST-7783, Male,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month-to-month,Yes,Mailed check,28.02,1114.18,No
CUST-8334,female,0,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,31.45,305.42,No
CUST-8168,male,No,No,Yes,34,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,TWO YEAR,No,Bank transfer,91.08,3105.04,Yes
CUST-7239,female,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ONE YEAR,No,Electronic check,33.73,2193.06,No
CUST-7407, Female ,0,Yes,No,7,No,No phone service,DSL,No internet service,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card,49.31,354.85,no
CUST-8107,female,0,No,No,67,Yes,Yes,DSL,Yes,No,No,No,No,No,month-to-month,Yes,Electronic check,51.7,3469.68,YES
CUST-8370, Female ,0,No,No,29,Yes,Yes,DSL,No,No internet service,No,No,No internet service,No,ONE YEAR,Yes,Bank transfer,54.09,1573.17,NO
CUST-7199,Femal,0,Yes,No,2,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No,month-to-month,No,Credit card,86.67,164.56,No
,,,,,,,,,,,,,,,,,,,,
CUST-7648,female,0,No,Yes,57,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month to month,Yes,Credit card,64.61,3686.23,YES
CUST-8068,Male,0,Yes,Yes,64,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,28.2,1806.76, No 
CUST-7754,male,0,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,one year,Yes,Mailed check,34.08,485.62,no
CUST-7357,male,0,No,No,3,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,No,Yes,one year,No,Bank transfer,95.64,279.87, Yes
CUST-7883,male,0,Yes,Yes,57,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,ONE YEAR,Yes,Electronic check,31.13,1775.68, No 
